,0
615,dy_153_face
616,px_154_face
617,py_154_face
618,dx_154_face
619,dy_154_face
620,px_155_face
621,py_155_face
622,dx_155_face
623,dy_155_face
624,px_156_face
625,py_156_face
626,dx_156_face
627,dy_156_face
628,px_157_face
629,py_157_face
630,dx_157_face
631,dy_157_face
632,px_158_face
633,py_158_face
634,dx_158_face
635,dy_158_face
636,px_159_face
637,py_159_face
638,dx_159_face
639,dy_159_face
640,px_160_face
641,py_160_face
642,dx_160_face
643,dy_160_face
644,px_161_face
645,py_161_face
646,dx_161_face
647,dy_161_face
648,px_162_face
649,py_162_face
650,dx_162_face
651,dy_162_face
652,px_163_face
653,py_163_face
654,dx_163_face
655,dy_163_face
656,px_164_face
657,py_164_face
658,dx_164_face
659,dy_164_face
660,px_165_face
661,py_165_face
662,dx_165_face
663,dy_165_face
664,px_166_face
665,py_166_face
666,dx_166_face
667,dy_166_face
668,px_167_face
669,py_167_face
670,dx_167_face
671,dy_167_face
672,px_168_face
673,py_168_face
674,dx_168_face
675,dy_168_face
676,px_169_face
677,py_169_face
678,dx_169_face
679,dy_169_face
680,px_170_face
681,py_170_face
682,dx_170_face
683,dy_170_face
684,px_171_face
685,py_171_face
686,dx_171_face
687,dy_171_face
688,px_172_face
689,py_172_face
690,dx_172_face
691,dy_172_face
692,px_173_face
693,py_173_face
694,dx_173_face
695,dy_173_face
696,px_174_face
697,py_174_face
698,dx_174_face
699,dy_174_face
700,px_175_face
701,py_175_face
702,dx_175_face
703,dy_175_face
704,px_176_face
705,py_176_face
706,dx_176_face
707,dy_176_face
708,px_177_face
709,py_177_face
710,dx_177_face
711,dy_177_face
712,px_178_face
713,py_178_face
714,dx_178_face
715,dy_178_face
716,px_179_face
717,py_179_face
718,dx_179_face
719,dy_179_face
720,px_180_face
721,py_180_face
722,dx_180_face
723,dy_180_face
724,px_181_face
725,py_181_face
726,dx_181_face
727,dy_181_face
728,px_182_face
729,py_182_face
730,dx_182_face
731,dy_182_face
732,px_183_face
733,py_183_face
734,dx_183_face
735,dy_183_face
736,px_184_face
737,py_184_face
738,dx_184_face
739,dy_184_face
740,px_185_face
741,py_185_face
742,dx_185_face
743,dy_185_face
744,px_186_face
745,py_186_face
746,dx_186_face
747,dy_186_face
748,px_187_face
749,py_187_face
750,dx_187_face
751,dy_187_face
752,px_188_face
753,py_188_face
754,dx_188_face
755,dy_188_face
756,px_189_face
757,py_189_face
758,dx_189_face
759,dy_189_face
760,px_190_face
761,py_190_face
762,dx_190_face
763,dy_190_face
764,px_191_face
765,py_191_face
766,dx_191_face
767,dy_191_face
768,px_192_face
769,py_192_face
770,dx_192_face
771,dy_192_face
772,px_193_face
773,py_193_face
774,dx_193_face
775,dy_193_face
776,px_194_face
777,py_194_face
778,dx_194_face
779,dy_194_face
780,px_195_face
781,py_195_face
782,dx_195_face
783,dy_195_face
784,px_196_face
785,py_196_face
786,dx_196_face
787,dy_196_face
788,px_197_face
789,py_197_face
790,dx_197_face
791,dy_197_face
792,px_198_face
793,py_198_face
794,dx_198_face
795,dy_198_face
796,px_199_face
797,py_199_face
798,dx_199_face
799,dy_199_face
800,px_200_face
801,py_200_face
802,dx_200_face
803,dy_200_face
804,px_201_face
805,py_201_face
806,dx_201_face
807,dy_201_face
808,px_202_face
809,py_202_face
810,dx_202_face
811,dy_202_face
