,0
1012,px_199_face
1013,py_199_face
1014,dx_199_face
1015,dy_199_face
1016,px_200_face
1017,py_200_face
1018,dx_200_face
1019,dy_200_face
1020,px_201_face
1021,py_201_face
1022,dx_201_face
1023,dy_201_face
1024,px_202_face
1025,py_202_face
1026,dx_202_face
1027,dy_202_face
1028,px_203_face
1029,py_203_face
1030,dx_203_face
1031,dy_203_face
1032,px_204_face
1033,py_204_face
1034,dx_204_face
1035,dy_204_face
1036,px_205_face
1037,py_205_face
1038,dx_205_face
1039,dy_205_face
1040,px_206_face
1041,py_206_face
1042,dx_206_face
1043,dy_206_face
1044,px_207_face
1045,py_207_face
1046,dx_207_face
1047,dy_207_face
1048,px_208_face
1049,py_208_face
1050,dx_208_face
1051,dy_208_face
1052,px_209_face
1053,py_209_face
1054,dx_209_face
1055,dy_209_face
1056,px_210_face
1057,py_210_face
1058,dx_210_face
1059,dy_210_face
1060,px_211_face
1061,py_211_face
1062,dx_211_face
1063,dy_211_face
1064,px_212_face
1065,py_212_face
1066,dx_212_face
1067,dy_212_face
1068,px_213_face
1069,py_213_face
1070,dx_213_face
1071,dy_213_face
1072,px_214_face
1073,py_214_face
1074,dx_214_face
1075,dy_214_face
1076,px_215_face
1077,py_215_face
1078,dx_215_face
1079,dy_215_face
1080,px_216_face
1081,py_216_face
1082,dx_216_face
1083,dy_216_face
1084,px_217_face
1085,py_217_face
1086,dx_217_face
1087,dy_217_face
1088,px_218_face
1089,py_218_face
1090,dx_218_face
1091,dy_218_face
1092,px_219_face
1093,py_219_face
1094,dx_219_face
1095,dy_219_face
1096,px_220_face
1097,py_220_face
1098,dx_220_face
1099,dy_220_face
1100,px_221_face
1101,py_221_face
1102,dx_221_face
1103,dy_221_face
1104,px_222_face
1105,py_222_face
1106,dx_222_face
1107,dy_222_face
1108,px_223_face
1109,py_223_face
1110,dx_223_face
1111,dy_223_face
1112,px_224_face
1113,py_224_face
1114,dx_224_face
1115,dy_224_face
1116,px_225_face
1117,py_225_face
1118,dx_225_face
1119,dy_225_face
1120,px_226_face
1121,py_226_face
1122,dx_226_face
1123,dy_226_face
1124,px_227_face
1125,py_227_face
1126,dx_227_face
1127,dy_227_face
1128,px_228_face
1129,py_228_face
1130,dx_228_face
1131,dy_228_face
1132,px_229_face
1133,py_229_face
1134,dx_229_face
1135,dy_229_face
1136,px_230_face
1137,py_230_face
1138,dx_230_face
1139,dy_230_face
1140,px_231_face
1141,py_231_face
1142,dx_231_face
1143,dy_231_face
1144,px_232_face
1145,py_232_face
1146,dx_232_face
1147,dy_232_face
1148,px_233_face
1149,py_233_face
1150,dx_233_face
1151,dy_233_face
1152,px_234_face
1153,py_234_face
1154,dx_234_face
1155,dy_234_face
1156,px_235_face
1157,py_235_face
1158,dx_235_face
1159,dy_235_face
1160,px_236_face
1161,py_236_face
1162,dx_236_face
1163,dy_236_face
1164,px_237_face
1165,py_237_face
1166,dx_237_face
1167,dy_237_face
1168,px_238_face
1169,py_238_face
1170,dx_238_face
1171,dy_238_face
1172,px_239_face
1173,py_239_face
1174,dx_239_face
1175,dy_239_face
1176,px_240_face
1177,py_240_face
1178,dx_240_face
1179,dy_240_face
1180,px_241_face
1181,py_241_face
